Predictor Group,Description,Value
Economic Freedom,R2 Scores_Q3,0.00299
Economic Freedom,R2 Scores_Q3,0.00196
Economic Freedom,R2 Scores_Q3,0.00178
Other Economic Factors,R2 Scores_Q3,0.05106
Other Economic Factors,R2 Scores_Q3,0.04326
Other Economic Factors,R2 Scores_Q3,0.01666
Other Economic Factors,R2 Scores_Q3,0.01373
Other Economic Factors,R2 Scores_Q3,0.01244
Other Economic Factors,R2 Scores_Q3,0.01157
Other Economic Factors,R2 Scores_Q3,0.00947
Other Economic Factors,R2 Scores_Q3,0.00939
Other Economic Factors,R2 Scores_Q3,0.00826
Education & Research,R2 Scores_Q3,0.00241
geoPolitical,R2 Scores_Q4,0.03908
geoPolitical,R2 Scores_Q4,0.02482
geoPolitical,R2 Scores_Q4,0.01475
geoPolitical,R2 Scores_Q4,0.00634
Neighbour Quality,R2 Scores_Q4,0.07573
Neighbour Quality,R2 Scores_Q4,0.04659
Neighbour Quality,R2 Scores_Q4,0.02843
Economic Freedom,R2 Scores_Q4,0.10844
Economic Freedom,R2 Scores_Q4,0.02549
Economic Freedom,R2 Scores_Q4,0.01701
Economic Freedom,R2 Scores_Q4,0.01541
Economic Freedom,R2 Scores_Q4,0.01064
Economic Freedom,R2 Scores_Q4,0.00908
Economic Freedom,R2 Scores_Q4,0.00835
Economic Freedom,R2 Scores_Q4,0.00637
Economic Freedom,R2 Scores_Q4,0.00571
Economic Freedom,R2 Scores_Q4,0.00173
Economic Freedom,R2 Scores_Q4,0.00146
Economic Freedom,R2 Scores_Q4,0.00141
Other Economic Factors,R2 Scores_Q4,0.07965
Other Economic Factors,R2 Scores_Q4,0.02151
Other Economic Factors,R2 Scores_Q4,0.01352
Other Economic Factors,R2 Scores_Q4,0.0102
Other Economic Factors,R2 Scores_Q4,0.00547
Other Economic Factors,R2 Scores_Q4,0.00457
Other Economic Factors,R2 Scores_Q4,0.00456
Other Economic Factors,R2 Scores_Q4,0.00347
geoPolitical,R2 Scores_Q5,0.06692
geoPolitical,R2 Scores_Q5,0.0367
geoPolitical,R2 Scores_Q5,0.01002
geoPolitical,R2 Scores_Q5,0.0045
Neighbour Quality,R2 Scores_Q5,0.07339
Neighbour Quality,R2 Scores_Q5,0.06986
Neighbour Quality,R2 Scores_Q5,0.0134
Economic Freedom,R2 Scores_Q5,0.02516
Economic Freedom,R2 Scores_Q5,0.02138
Economic Freedom,R2 Scores_Q5,0.01965
Economic Freedom,R2 Scores_Q5,0.01567
Economic Freedom,R2 Scores_Q5,0.01544
Economic Freedom,R2 Scores_Q5,0.01148
Economic Freedom,R2 Scores_Q5,0.00675
Economic Freedom,R2 Scores_Q5,0.00617
Economic Freedom,R2 Scores_Q5,0.00503
Economic Freedom,R2 Scores_Q5,0.00461
Economic Freedom,R2 Scores_Q5,0.00319
Economic Freedom,R2 Scores_Q5,0.00278
Economic Freedom,R2 Scores_Q5,0.00085
Other Economic Factors,R2 Scores_Q5,0.06942
Other Economic Factors,R2 Scores_Q5,0.01831
Other Economic Factors,R2 Scores_Q5,0.00464
Other Economic Factors,R2 Scores_Q5,0.00408
Other Economic Factors,R2 Scores_Q5,0.00169
Other Economic Factors,R2 Scores_Q5,0.0014
Education & Research,R2 Scores_Q5,0.00654
Education & Research,R2 Scores_Q5,0.00301
