"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bosnia and Herzegovina","BIH","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.05","","","","","72.95","79.67","80.46","81.26","79.74","83.71","79.76","81.24","81.38","78.96","78.92","77.48","76.56","74.6","79.67","80.05","80.3",
"Belarus","BLR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.96","83.76","83.7","83.39","83.37","82.85","83.03",
"Belize","BLZ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.71","83.75","85.71","85.64","84.54","82.79","","85.43","","","",
"Bermuda","BMU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6","81.03","84.5","88.63","","71.6","87.07","85.96","87.07","82.31","88.18","","81.71","85.55","81.77","81.95","80.13","78.1","77.89","79.5","82.05","78.41","83.7","84.9",
"Brazil","BRA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.69","85.79","86.3","85.75","84.84","","84.23","84.84","84.23","83.89","84.54","84.3","84.36","83.96","84.33","","82.96","81.68","81.48","82.88","82.97","83.2","83.18","82.9","83.15","79.4","80.53","81.87",
"Barbados","BRB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.28","81.88","82.26","80.59","79.91","","","",
"Brunei Darussalam","BRN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.58","","","81.91","84.12","81.12","83.17","81.38","",
"Bhutan","BTN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.82","63.04","","","86.31","88.35","87.01","91.12","85.22",
"Botswana","BWA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.14","","","87.57","72.44","","","","","","","","","77.12","78.97","80.2","78.93",
"Central African Republic","CAF","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.46","81.2","80.35","80.19","79.42","79.24","78.82","78.48","78.79","78.55","78.56","78.45","78.6","78.99","78.61","78.19","77.93","77.68","77.66","77.81","77.26","76.83","76.69","76.5","75.99","75.93","75.47","75.19","74.88","74.92","73.02","74.03","73.45",
"Central Europe and the Baltics","CEB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.6672234388929","81.2282943194416","80.6461895448138","80.50770642017","80.0351012734605","79.5553406620111","79.1011718849423","79.893941145297","80.1262143433544","78.6070453985463","78.2699474294427","78.1636539741445","78.5115106612186","77.94616547075","77.6833349072953","77.7974596740595","77.9400170927091","78.1756014109336","78.5481477853173","78.5559909314823","78.7495966601684","78.8976112366461","78.9340849200266","78.3686446692137","79.2724553356984","79.7926851535623",
"Switzerland","CHE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.34","80.13","79.97","79.32","80.57","83.76","84.38","83.92","83.53","83.33","84.72","83.87","83.91","83.51","83.81","83.58","83.12","83.12","83.07","81","81.28","81.62","81.3","80.69","80.57","80.99","81.04","81.36","81.69","81.27","80.55","79.3",
"Channel Islands","CHI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.39","","89.71","","","87.95","","","86.19","","","83.6","83.86","84.48","85.13","84.33","82.94","83.99","83","82.5","82.62","83.22","81.08","83.54","85.12",
"China","CHN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.36","83.31","","","64.94","42.01","","76.38","","","",
"Cameroon","CMR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.11","","","","","","","77.36","","","","","","","","",
"Congo, Dem. Rep.","COD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.07","","","","","","","63.71","","","","","","","","61.02","","",
"Congo, Rep.","COG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.91","","","","36.48","","","","","","","","","","","","","",
"Colombia","COL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.73","82.87","81.56","81.37","","75.01","75.43","77.03","77.77","78.38","79.05","78.46","78.03","77.79","77.1","76.46","75.3","74.64","","75.22","79.2",
"Comoros","COM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.56","","","","","","","","","","81.2","","","","","","","77.64","",
"Cabo Verde","CPV","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7","","","","","","74.36","","70.21","70.61","69.77","","","",
"Costa Rica","CRI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.73","80.74","80.86","79.5","80","81.3","80.98","79.98","79.48","75.15","74.62","78.48","80.23","78.8","78.93","75.48","75.64","75.78","79.73","77.81","77.79","74.54",
"Caribbean small states","CSS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.204413911093","","76.261370434994","","","","","","",
"Cuba","CUB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.39","86.23","","","","","","","","","","","","",
"Curacao","CUW","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.81","","77.61","","",
"Cayman Islands","CYM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.15","89.59","","88.11","85.95","","","","","","","",
"Cyprus","CYP","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.68","88.19","88.4","88.04","88.5","86.86","85.82","86.28","86.24","85.69","85.13","84.12","83.38","83.99","83.75","84.1","83.91","81.93","81.77","81.87","82.88","82.44","82.44","82.87",
"Czechia","CZE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.35","70.05","74.19","73.45","72.81","69.81","72.36","72.6","71.62","68.83","67.39","68.41","66.68","67.98","69.84","71.45","75.77","75.63","75.68","76.21","76.96","76.24","75.5","76.01","76.8",
"Germany","DEU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.78","81.2","80.51","80.65","80.45","79.6","","79.86","79.51","79.24","78.86","78.95","78.58","78.43","74.67","74.07","73.54","73.68","73.63","74.59","74.38","74.23","73.92","73.62","74.04","73.84","73.75","74.4","72.61","72.93","73.25",
"Djibouti","DJI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.78","","","","","",
"Dominica","DMA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.29","87.22","86.5","86.41","85.39","85.16","85.14","84.33","85.45","84.52","84.08","83.63","83.87","83.79","81.04","81.61","80.01","78.85","78.38","78.99","78.76","77.96","77.06","77.2","76.8","76.9","76.83","77.2","76.95","76.81","77.13",
"Dominican Republic","DOM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.71","82.96","83.9","84.38","83.08","82.83","82.61","80.55","81.88","79.04","81.81","81.56","83.49","82.28","79.4","84.24","84.46","84.3","83.52","83.76","80.08","81.38","",
"Algeria","DZA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.17","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2074257185067","","","","","70.4755448328035","","70.3738679919947","","","","","","68.1701788985093","68.9406439836882","67.706375914441","68.3264370861231","",
"East Asia & Pacific","EAS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.0001898195968","71.7958991859131","72.2830825891336","73.2194958343085","73.5351525277635","73.887332717397","71.7987827161022","71.8960410043442","71.2357500431806","70.0321324796663","70.4005764785086","",
"Europe & Central Asia","ECS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8820147551653","","79.0059452080479","78.5476713986146","78.26090203035","76.1503742761887","76.3931301097066","76.3205887142379","76.3989468619072","76.4949832873451","76.6239916241922","76.7216959570429","75.8848448301101","75.9351942826586","75.8314519380093","73.8670353862003","74.4875144969985","",
"Ecuador","ECU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.15","80.32","","83.5","83.26","84.21","85.24","83.25","83.56","80.64","79.61","79.56","79.89","79.28","78.43","80.41","80.74","80.65","79.38","78.32","","76.32","77.37",
"Egypt, Arab Rep.","EGY","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.23","76.45","77.44","77.22","77.01","76.84","75.06","75.83","77.64","75.79","70.1","","63.83","63.72","",
"Euro area","EMU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.1958906476034","81.4075022829947","81.1413986257626","81.2721479211261","81.4499453845361","81.0949228612489","81.7820700248748","81.3972887759856","81.2751995034195","81.0592916905897","81.2045896677222","81.2852886731761","81.1723383579294","79.6859373009665","77.417929546745","77.3906790780882","77.5276700838051","77.1459723097214","76.8973908952866","77.0824762856291","77.2659681598026","76.9655814391532","76.9196247339899","76.8469601884541","76.9099273730645","76.6756347186262","76.6262866849576","76.7478450258104","75.6619410833338","76.3450193971893","76.6610084386549",
"Eritrea","ERI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.69","79.92","80.91","80.75","80.79","81.01","81.73","81.54","81.83","80.81","82.4","83.07","84.02","83.79","82.66","82.87","82.79","82.81","82.35","82.27","82.84","82.11","81.66","81.43","80.98","80.59","80.26","79.83","78.69","78.74","78.75",
"Estonia","EST","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.53","81.58","80.38","81.76","79.33","80.51","78.41","79.49","79.68","82.17","81.71","80.52","80.51","79.62","79.27","80.73","80.63","79.86","81.27","81.17","81.92","81.5","82.11","82.11","76.64","77.46",
"Ethiopia","ETH","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.26","","","","","","94.23","","","","","","","","93.59","","","","","","","","","",
"European Union","EUU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5570093170454","81.7520348303266","81.3040352982667","81.5908454565219","81.2444657058633","81.1257186872126","80.8266260156464","80.8415361902776","80.7998926707806","80.9260731914903","79.8722615987463","77.7712074964494","77.6870206095423","77.7541192486491","77.5237936830215","77.1929813039424","77.2911135599711","77.4731460327857","77.2922884491712","77.3264558950141","77.3552399954453","77.3826560761233","77.2507880603608","77.2418446692491","77.3383325450639","76.3846602264183","76.9689294619821","77.3280177205072",
"Fragile and conflict affected situations","FCS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4","82.08","83.63","82.66","84.21","84.03","83.98","83.7","83.49","83.29","82.37","79.2","79.17","78.93","77.87","77.36","76.7","76.66","75.51","75.04","75.03","74.44","74.15","74.15","74.03","73.98","74.79","74.72",
"Fiji","FJI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.67","","","","","","80.47","","","92.07","","80.73","","","","","","",
"France","FRA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.07","79.32","79.47","81.63","81.27","79.26","79.39","79.8","79.91","80.18","80.52","80.32","74.41","74","74.59","75.72","75","75.29","75.34","76.18","76.16","77.38","77.52","77.29","76.6","76.55","76.64","75.65","77.38","77.27",
"Faroe Islands","FRO","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.01","","","","","","","","",
"Gabon","GAB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.56","89.7","90.11","89.45","89.5","90.1","","89.89","89.72","89.86","89.75","89.78","89.63","89.88","89.97","89.67","85.24","85.01","84.86","85.02","83.68","84.07","83.69","83.76","83.77","83.82","83.94","84.51","","","",
"Georgia","GEO","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.59","77.04","75.85","76.13","76.09","77","73.8","72.1","71.98","72.3","","",
"Ghana","GHA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.72","","","","","","","","","71.96","","","","","","86.03","","","","75.37","","","80.52","","83.89","","66.75","","","","","",
"Gibraltar","GIB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.03","","","","","","","","","","","","","","","","","79.51","","","",
"Gambia, The","GMB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.93","","","","","","74.47","","","","",
"Guinea-Bissau","GNB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.34","","","","",
"Equatorial Guinea","GNQ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
